siren_epci,siren,categorie,nb_entreprise
200035665,950620989,,2564
200035665,969508563,ETI,168
200035665,998823504,GE,108
200035665,950620971,PME,3717
200040277,950616490,,422
200040277,775722184,ETI,6
200040277,954509741,GE,11
200040277,950571463,PME,651
200065787,824482848,,1038
200065787,801252719,ETI,65
200065787,972200018,GE,50
200065787,950648881,PME,1697
200066017,950616888,,734
200066017,945550549,ETI,7
200066017,937020097,GE,11
200066017,950648469,PME,1229
200066405,950648550,,2020
200066405,977080035,ETI,44
200066405,955510029,GE,36
200066405,950620872,PME,2515
200066413,950620823,,2482
200066413,798922092,ETI,86
200066413,998823504,GE,59
200066413,950648865,PME,3581
200066462,950648725,,2123
200066462,950395079,ETI,56
200066462,998823504,GE,42
200066462,972420970,PME,3154
200066827,950648543,,546
200066827,775701097,ETI,19
200066827,975680190,GE,12
200066827,950648402,PME,799
200069730,819968835,,13
200069730,813759727,PME,22
200070142,950616789,,726
200070142,800484396,ETI,25
200070142,998823504,GE,18
200070142,811441682,PME,1093
200071454,950649095,,3993
200071454,950026914,ETI,366
200071454,998823504,GE,169
200071454,950648899,PME,6484
200071843,950616862,,1172
200071843,808874010,ETI,59
200071843,998823504,GE,44
200071843,814436549,PME,1951
200072312,950620880,,3480
200072312,977080035,ETI,119
200072312,998823504,GE,95
200072312,976970723,PME,5596
242700276,824593958,,687
242700276,977080035,ETI,12
242700276,799858212,GE,13
242700276,950618793,PME,995
242700607,950648535,,797
242700607,775701097,ETI,31
242700607,775672272,GE,23
242700607,950617340,PME,1104
242700623,950620849,,1007
242700623,945550549,ETI,46
242700623,998823504,GE,32
242700623,950648378,PME,1579
