Nom de la gare;Code UIC;Code postal;Segmentation;voyageurs 2015;Voyageurs 2014
Vernon;415604;27200;b;1733552;1720641
Evreux Normandie;387001;27000;a;1113650;1143162
Val de Reuil;415877;27100;b;485921;547938
Gaillon-Aubevoye;415620;27600;b;480487;466232
Bernay;444299;27300;b;468866;472015
Gisors Embranchement;381244;27140;b;391183;359479
Bueil;387092;27730;b;128211;130061
Verneuil sur Avre;393595;27130;b;102618;118668
Conches;387159;27190;b;100413;101336
Serquigny;444315;27470;c;26946;26908
Nonancourt;393553;27320;c;14683;20314
Beaumont le Roger;387183;27170;c;12056;11608
Romilly la Puthenaye;387175;27170;c;11665;11263
Pont de l'Arche;415661;27340;c;10809;11897
Brionne;415364;27800;c;8884;9250
La Bonneville sur Iton;387142;27190;c;8878;9174
Bourgtheroulde Thuit Hébert;415323;27520;c;2492;3761
Tourville;411181;27370;c;2027;2110
Saint-Pierre du Vauvray;415646;27430;c;1695;3363
Glos-Montfort;415349;27290;c;1638;3288
Saint-Germain-Saint-Rémy;393520;27320;c;396;484
Bourth;393603;27580;c;191;17
Tillières sur Avre;393587;27570;c;;15
